voice	key	cer	dur	text	asr
op	intro_head	0.111	1.202	여기는 러너웨이 관제.	여기는러너웨이관찰
op	intro_hide	0.222	1.383	근처 풀숲에 숨어 있다.	근처풀수패숨어있다.
op	intro_top	0.0	0.665	최고 시속	최고시속
op	intro_max	0.0	1.063	최고 속도는	최고속도는.
op	intro_kmh	0.5	0.48	킬로.	킬러.
op	intro_tail	0.0	2.387	아직 널 못 봤다. 조용히 페이스를 올려라.	아직널못봤다. 조용히페이스를올려라.
op	intro_now	0.077	1.518	바로 뒤에 있다. 이미 널 봤다. 뛰어!	바로뒤에있다이미널받다뛰어.
op	warn60	0.1	1.471	일 분 뒤, 녀석들이 널 본다.	1분뒷녀석들이널본다.
op	warn15	0.25	0.909	곧이다. 페이스 올려!	고지다페이스올려.
op	spotted	0.222	1.245	녀석들이 널 봤다. 뛰어!	여섯들이널봤다뛰어.
op	sisok	0.0	0.427	시속	시속
op	hold	0.0	0.436	버텨!	버텨.
op	again	0.0	0.48	또 온다!	또온다.
op	stick	0.0	0.533	붙는다!	붙는다.
op	meter	0.0	0.464	미터.	미터
op	hit1	0.077	1.649	잡혔다! 첫 번째. 무리가 물러난다.	잡혔다, 첫번째우리가물러난다.
op	hit2	0.0	2.289	잡혔다! 두 번째. 한 번 더 잡히면 끝이다!	잡혔다. 두번째한번더잡히면끝이다.
op	hit3	0.0	1.148	세 번째다. 끝났다.	세번째다끝났다.
op	tired1	0.067	1.925	지쳤다. 헐떡인다. 지금이 기회다, 밟아!	지쳤다헐떡이다지금이기회다, 밟아.
op	tired2	0.0	0.947	지쳤다. 벌려!	지쳤다, 벌려.
op	tired3	0.125	0.867	헐떡인다. 지금이다!	헐떡이다지금이다.
op	tired4	0.0	0.466	지쳤다.	지쳤다.
op	tired5	0.0	0.477	기회다.	기회다.
op	recover1	0.0	1.696	숨 고르는 중. 다시 올 거다.	숨고르는중다시올거다.
op	recover2	0.0	1.692	멀어진다. 아직 끝난 게 아니다.	멀어진다아직끝난게아니다.
op	lost	0.053	2.574	GPS가 흔들린다. 녀석들이 냄새를 잃었다.	GPS가흔들린단녀석들이냄새를잃었다.
op	half1	0.333	0.643	절반이다. 뛰어!	절반이다.
op	half2	0.2	0.717	잡힌다! 밟아!	잡힌다말아.
op	cool	0.0	2.532	쿨다운 구간. 녀석들은 포기했다. 천천히.	쿨다운구간녀석들은포기했다. 천천히.
op	end_fail	0.0	1.208	잡혔다. 탈출 실패.	잡혔다탈출실패.
op	end_arrive	0.167	0.989	도착! 탈출 성공.	도착탈출성급.
op	end_hits0	0.0	1.026	한 번도 안 잡혔다.	한번도안잡혔다.
op	end_hits1	0.0	0.782	한 번 잡혔다.	한번잡혔다.
op	end_hits2	0.0	0.786	두 번 잡혔다.	두번잡혔다.
op	end_final	0.25	0.615	최종 기록	재종기록.
op	unit_min	1.0	0.399	분	몇분
op	unit_sec	0.0	0.309	초.	초
op	end_stop	0.25	0.665	세션 종료.	세션종립
op	wait	0.0	3.331	위치 잡는 중이다. 하늘이 보이는 곳에서 잠깐 기다려라.	위치잡는중이다. 하늘이보이는곳에서잠깐기다려라.
op	wait_coarse	0.192	4.107	위치 정확도가 너무 낮다. 크롬 위치 권한에서 정확한 위치를 켜라.	위치정확도가너무났다. 크론위치고난해서정확한위치를켜라.
op	pocket	0.133	1.928	주머니 모드. 이제 소리만 듣고 달려라.	주머니이제소리만듣고달려라.
op	test_tail	0.0	3.317	지금 소리가 왼쪽에서 오른쪽으로 지나갔으면 정상이다.	지금소리가왼쪽에서오른쪽으로지나갔으면정상이다.
op	zero	0.0	0.428	영	영
op	cnt1	0.0	0.574	한 마리가	한마리가
op	cnt2	0.0	0.526	두 마리가	두마리가
op	cnt3	0.0	0.652	세 마리가	세마리가.
op	cnt4	0.25	0.627	네 마리가	내마리가.
op	cnt5	0.4	0.683	다섯 마리가	5마리가
op	dc_front	0.0	0.699	정면에서 온다!	정면에서온다.
op	dx_front	0.0	0.527	정면이다!	정면이다.
op	dr_front	0.0	1.262	한 마리가 돌아왔다. 정면.	한마리가돌아왔다정면.
op	dc_back	0.0	0.877	바로 뒤에서 온다!	바로뒤에서온다.
op	dx_back	0.0	0.519	바로 뒤다!	바로뒤다.
op	dr_back	0.0	1.451	한 마리가 돌아왔다. 바로 뒤.	한마리가돌아왔다바로뒤.
op	dc_lf	0.143	0.901	왼쪽 앞에서 온다!	왼쪽에서온다.
op	dx_lf	0.2	0.606	왼쪽 앞이다!	왼쪽합이다.
op	dr_lf	0.091	1.513	한 마리가 돌아왔다. 왼쪽 앞.	한마리가돌아왔다. 왼쪽은
op	dc_rf	0.0	0.946	오른쪽 앞에서 온다!	오른쪽앞에서온다.
op	dx_rf	0.0	0.807	오른쪽 앞이다!	오른쪽앞이다.
op	dr_rf	0.0	1.584	한 마리가 돌아왔다. 오른쪽 앞.	한마리가돌아왔다오른쪽앞
op	dc_l	0.0	0.727	왼쪽에서 온다!	왼쪽에서온다.
op	dx_l	0.0	0.495	왼쪽이다!	왼쪽이다.
op	dr_l	0.0	1.385	한 마리가 돌아왔다. 왼쪽.	한마리가돌아왔다왼쪽.
op	dc_r	0.0	0.895	오른쪽에서 온다!	오른쪽에서온다.
op	dx_r	0.0	0.604	오른쪽이다!	오른쪽이다.
op	dr_r	0.0	1.362	한 마리가 돌아왔다. 오른쪽.	한마리가돌아왔다오른쪽.
op	dc_lb	0.0	0.861	왼쪽 뒤에서 온다!	왼쪽뒤에서온다.
op	dx_lb	0.25	0.648	왼쪽 뒤다!	왼쪽귀다.
op	dr_lb	0.091	1.445	한 마리가 돌아왔다. 왼쪽 뒤.	한마리가돌아왔다왼쪽귀
op	dc_rb	0.0	1.001	오른쪽 뒤에서 온다!	오른쪽뒤에서온다.
op	dx_rb	0.0	0.83	오른쪽 뒤다!	오른쪽뒤다.
op	dr_rb	0.0	1.509	한 마리가 돌아왔다. 오른쪽 뒤.	한마리가돌아왔다오른쪽뒤.
op	n1	0.0	0.418	일	일
op	n2	0.0	0.301	이	이
op	n3	0.0	0.284	삼	3.
op	n4	0.0	0.259	사	사
op	n5	0.0	0.496	오	오.
op	n6	0.0	0.325	육	6
op	n7	1.0	0.421	칠	며칠
op	n8	1.0	0.358	팔	발
op	n9	1.0	0.301	구	그
op	n10	0.0	0.283	십	십
op	n11	0.0	0.455	십일	10일
op	n12	0.0	0.556	십이	12
op	n13	0.0	0.553	십삼	13
op	n14	0.0	0.448	십사	14
op	n15	0.0	0.489	십오	15
op	n16	0.0	0.416	십육	16
op	n17	0.0	0.441	십칠	17
op	n18	0.0	0.42	십팔	18
op	n19	0.5	0.256	십구	십
op	n20	0.0	0.338	이십	20
op	n21	0.0	0.547	이십일	20일
op	n22	0.0	0.528	이십이	22
op	n23	0.0	0.625	이십삼	23
op	n24	0.0	0.55	이십사	24
op	n25	0.0	0.578	이십오	25
op	n26	0.0	0.477	이십육	26
op	n27	0.0	0.531	이십칠	27
op	n28	0.0	0.526	이십팔	28
op	n29	0.0	0.548	이십구	이십구
op	n30	0.0	0.499	삼십	30
op	n31	0.0	0.558	삼십일	30일
op	n32	0.0	0.566	삼십이	30이
op	n33	0.0	0.761	삼십삼	33
op	n34	0.0	0.59	삼십사	34
op	n35	0.0	0.512	삼십오	35
op	n36	0.0	0.451	삼십육	36
op	n37	0.0	0.541	삼십칠	37
op	n38	0.0	0.583	삼십팔	38
op	n39	0.0	0.876	삼십구	39
op	n40	0.0	0.489	사십	40
op	n41	0.0	0.505	사십일	40일
op	n42	0.0	0.55	사십이	42
op	n43	0.0	0.615	사십삼	43
op	n44	0.0	0.439	사십사	44
op	n45	0.0	0.528	사십오	45
op	n46	0.0	0.442	사십육	46
op	n47	0.0	0.598	사십칠	47
op	n48	0.0	0.53	사십팔	48
op	n49	0.0	0.446	사십구	49
op	n50	0.0	0.349	오십	50
op	n51	0.0	0.538	오십일	50일
op	n52	0.0	0.45	오십이	50이
op	n53	0.0	0.551	오십삼	53
op	n54	0.0	0.554	오십사	54
op	n55	0.0	0.444	오십오	55
op	n56	0.0	0.609	오십육	56
op	n57	0.0	0.507	오십칠	57
op	n58	0.0	0.616	오십팔	58
op	n59	0.333	0.485	오십구	50급.
op	n60	0.0	0.368	육십	60
op	n61	0.0	0.639	육십일	61
op	n62	0.0	0.474	육십이	60이
op	n63	0.0	0.592	육십삼	63.
op	n64	0.0	0.55	육십사	64
op	n65	0.0	0.556	육십오	65
op	n66	0.0	0.513	육십육	66
op	n67	0.0	0.585	육십칠	67
op	n68	0.0	0.635	육십팔	68
op	n69	0.0	0.544	육십구	육십구
op	n70	0.0	0.386	칠십	칠십
op	n71	0.0	0.507	칠십일	칠십일
op	n72	0.0	0.588	칠십이	70이
